MCS,Leader Cells,Follower Cells,Total
0,988,2969,3957
1,987,2969,3956
2,986,2971,3957
3,985,2972,3957
4,985,2972,3957
5,985,2980,3965
6,985,2988,3973
7,985,2997,3982
8,985,3004,3989
9,985,3015,4000
10,985,3023,4008
11,985,3045,4030
12,985,3050,4035
13,985,3059,4044
14,985,3069,4054
15,985,3081,4066
16,985,3087,4072
17,985,3103,4088
18,985,3114,4099
19,985,3125,4110
20,985,3133,4118
21,985,3139,4124
22,985,3148,4133
23,985,3156,4141
24,985,3162,4147
25,985,3171,4156
26,985,3176,4161
27,985,3179,4164
28,985,3186,4171
29,985,3191,4176
30,985,3193,4178
31,985,3195,4180
32,985,3198,4183
33,985,3200,4185
34,985,3201,4186
35,985,3201,4186
36,985,3203,4188
37,985,3205,4190
38,985,3207,4192
39,985,3209,4194
40,985,3209,4194
41,985,3210,4195
42,985,3211,4196
43,985,3212,4197
44,985,3214,4199
45,985,3215,4200
46,985,3215,4200
47,985,3215,4200
48,985,3215,4200
49,985,3215,4200
50,985,3215,4200
51,985,3216,4201
52,985,3216,4201
53,985,3216,4201
54,985,3216,4201
55,985,3216,4201
56,985,3216,4201
57,985,3215,4200
58,985,3215,4200
59,985,3215,4200
60,985,3215,4200
61,985,3215,4200
62,985,3215,4200
63,985,3215,4200
64,985,3215,4200
65,985,3215,4200
66,985,3215,4200
67,985,3215,4200
68,985,3215,4200
69,985,3215,4200
70,985,3215,4200
71,985,3215,4200
72,985,3215,4200
73,985,3215,4200
74,985,3215,4200
75,985,3215,4200
76,985,3215,4200
77,985,3215,4200
78,985,3215,4200
79,985,3215,4200
80,985,3214,4199
81,985,3214,4199
82,985,3214,4199
83,985,3214,4199
84,985,3214,4199
85,985,3214,4199
86,985,3214,4199
87,985,3214,4199
88,985,3214,4199
89,985,3214,4199
90,985,3214,4199
91,985,3213,4198
92,985,3213,4198
93,985,3213,4198
94,985,3213,4198
95,985,3213,4198
96,985,3213,4198
97,985,3213,4198
98,985,3213,4198
99,985,3213,4198
100,985,3213,4198
101,985,3213,4198
102,985,3213,4198
103,985,3213,4198
104,985,3213,4198
105,985,3213,4198
106,985,3213,4198
107,985,3213,4198
108,985,3213,4198
109,985,3213,4198
110,985,3213,4198
111,985,3213,4198
112,985,3213,4198
113,985,3213,4198
114,985,3213,4198
115,985,3213,4198
116,985,3213,4198
117,985,3213,4198
118,985,3213,4198
119,985,3213,4198
120,985,3213,4198
121,985,3213,4198
122,985,3213,4198
123,985,3213,4198
124,985,3213,4198
125,985,3213,4198
126,985,3213,4198
127,985,3213,4198
128,985,3212,4197
129,985,3212,4197
130,985,3212,4197
131,985,3212,4197
132,985,3212,4197
133,985,3212,4197
134,985,3212,4197
135,985,3212,4197
136,985,3212,4197
137,985,3212,4197
138,985,3212,4197
139,985,3212,4197
140,985,3212,4197
141,985,3212,4197
142,985,3212,4197
143,985,3212,4197
144,985,3212,4197
145,985,3212,4197
146,985,3212,4197
147,985,3212,4197
148,985,3212,4197
149,985,3212,4197
150,985,3212,4197
151,985,3212,4197
152,985,3212,4197
153,985,3212,4197
154,985,3212,4197
155,985,3212,4197
156,985,3212,4197
157,985,3212,4197
158,985,3212,4197
159,985,3212,4197
160,985,3212,4197
161,985,3212,4197
162,985,3212,4197
163,985,3212,4197
164,985,3212,4197
165,985,3212,4197
166,985,3212,4197
167,985,3212,4197
168,985,3212,4197
169,985,3212,4197
170,985,3212,4197
171,985,3212,4197
172,985,3212,4197
173,985,3212,4197
174,985,3212,4197
175,985,3212,4197
176,985,3212,4197
177,985,3212,4197
178,985,3211,4196
179,985,3211,4196
180,985,3210,4195
181,985,3210,4195
182,985,3210,4195
183,985,3210,4195
184,985,3210,4195
185,985,3210,4195
186,985,3210,4195
187,985,3210,4195
188,985,3210,4195
189,985,3210,4195
190,985,3210,4195
191,985,3210,4195
192,985,3210,4195
193,985,3210,4195
194,985,3210,4195
195,985,3210,4195
196,985,3210,4195
197,985,3210,4195
198,985,3210,4195
199,985,3210,4195
200,985,3210,4195
201,985,3210,4195
202,985,3210,4195
203,985,3210,4195
204,985,3210,4195
205,985,3210,4195
206,985,3210,4195
207,985,3210,4195
208,985,3210,4195
209,985,3210,4195
210,985,3210,4195
211,985,3210,4195
212,985,3210,4195
213,985,3210,4195
214,985,3210,4195
215,985,3210,4195
216,985,3210,4195
217,985,3210,4195
218,985,3210,4195
219,985,3210,4195
220,985,3210,4195
221,985,3210,4195
222,985,3210,4195
223,985,3210,4195
224,985,3210,4195
225,985,3210,4195
226,985,3210,4195
227,985,3210,4195
228,985,3210,4195
229,985,3210,4195
230,985,3210,4195
231,985,3210,4195
232,985,3210,4195
233,985,3210,4195
234,985,3210,4195
235,985,3210,4195
236,985,3210,4195
237,985,3210,4195
238,985,3210,4195
239,985,3210,4195
240,985,3210,4195
241,985,3210,4195
242,985,3210,4195
243,985,3210,4195
244,985,3210,4195
245,985,3209,4194
246,985,3209,4194
247,985,3209,4194
248,985,3209,4194
249,985,3209,4194
250,985,3209,4194
251,985,3209,4194
252,985,3209,4194
253,985,3209,4194
254,985,3209,4194
255,985,3209,4194
256,985,3209,4194
257,985,3209,4194
258,985,3209,4194
259,985,3209,4194
260,985,3209,4194
261,985,3209,4194
262,985,3209,4194
263,985,3209,4194
264,985,3209,4194
265,985,3209,4194
266,985,3209,4194
267,985,3209,4194
268,985,3209,4194
269,985,3209,4194
270,985,3209,4194
271,985,3209,4194
272,985,3209,4194
273,985,3209,4194
274,985,3209,4194
275,985,3209,4194
276,985,3209,4194
277,985,3209,4194
278,985,3209,4194
279,985,3209,4194
280,985,3209,4194
281,985,3209,4194
282,985,3209,4194
283,985,3209,4194
284,985,3209,4194
285,985,3209,4194
286,985,3209,4194
287,985,3209,4194
288,985,3209,4194
289,985,3209,4194
290,985,3209,4194
291,985,3209,4194
292,985,3209,4194
293,985,3209,4194
294,985,3209,4194
295,985,3209,4194
296,985,3209,4194
297,985,3209,4194
298,985,3209,4194
299,985,3209,4194
300,985,3209,4194
301,985,3209,4194
302,985,3209,4194
303,985,3209,4194
304,985,3209,4194
305,985,3209,4194
306,985,3209,4194
307,985,3209,4194
308,985,3209,4194
309,985,3209,4194
310,985,3209,4194
311,985,3209,4194
312,985,3209,4194
313,985,3209,4194
314,985,3209,4194
315,985,3209,4194
316,985,3209,4194
317,985,3209,4194
318,985,3209,4194
319,985,3209,4194
320,985,3209,4194
321,985,3209,4194
322,985,3209,4194
323,985,3209,4194
324,985,3209,4194
325,985,3209,4194
326,985,3209,4194
327,985,3209,4194
328,985,3209,4194
329,985,3209,4194
330,985,3209,4194
331,985,3209,4194
332,985,3209,4194
333,985,3209,4194
334,985,3209,4194
335,985,3209,4194
336,985,3209,4194
337,985,3209,4194
338,985,3209,4194
339,985,3209,4194
340,985,3209,4194
341,985,3209,4194
342,985,3209,4194
343,985,3209,4194
344,985,3209,4194
345,985,3209,4194
346,985,3209,4194
347,985,3209,4194
348,985,3209,4194
349,985,3209,4194
350,985,3209,4194
351,985,3209,4194
352,985,3209,4194
353,985,3209,4194
354,985,3209,4194
355,985,3209,4194
356,985,3209,4194
357,985,3209,4194
358,985,3209,4194
359,985,3209,4194
360,985,3209,4194
361,985,3209,4194
362,985,3209,4194
363,985,3209,4194
364,985,3209,4194
365,985,3209,4194
366,985,3209,4194
367,985,3209,4194
368,985,3209,4194
369,985,3209,4194
370,985,3209,4194
371,985,3209,4194
372,985,3209,4194
373,985,3208,4193
374,985,3208,4193
375,985,3208,4193
376,985,3208,4193
377,985,3208,4193
378,985,3208,4193
379,985,3208,4193
380,985,3208,4193
381,985,3208,4193
382,985,3208,4193
383,985,3208,4193
384,985,3208,4193
385,985,3208,4193
386,985,3208,4193
387,985,3208,4193
388,985,3208,4193
389,985,3208,4193
390,985,3208,4193
391,985,3208,4193
392,985,3208,4193
393,985,3208,4193
394,985,3208,4193
395,985,3208,4193
396,985,3208,4193
397,985,3208,4193
398,985,3208,4193
399,985,3208,4193
400,985,3208,4193
401,985,3208,4193
402,985,3208,4193
403,985,3208,4193
404,985,3208,4193
405,985,3208,4193
406,985,3208,4193
407,985,3208,4193
408,985,3208,4193
409,985,3208,4193
410,985,3208,4193
411,985,3208,4193
412,985,3208,4193
413,985,3208,4193
414,985,3208,4193
415,985,3208,4193
416,985,3208,4193
417,985,3208,4193
418,985,3208,4193
419,985,3208,4193
420,985,3208,4193
421,985,3208,4193
422,985,3208,4193
423,985,3208,4193
424,985,3208,4193
425,985,3208,4193
426,985,3208,4193
427,985,3208,4193
428,985,3208,4193
429,985,3208,4193
430,985,3208,4193
431,985,3208,4193
432,985,3208,4193
433,985,3208,4193
434,985,3208,4193
435,985,3208,4193
436,985,3208,4193
437,985,3208,4193
438,985,3208,4193
439,985,3208,4193
440,985,3208,4193
441,985,3208,4193
442,985,3208,4193
443,985,3208,4193
444,985,3208,4193
445,985,3208,4193
446,985,3208,4193
447,985,3208,4193
448,985,3208,4193
449,985,3208,4193
450,985,3208,4193
451,985,3208,4193
452,985,3208,4193
453,985,3208,4193
454,985,3208,4193
455,985,3208,4193
456,985,3208,4193
457,985,3208,4193
458,985,3208,4193
459,985,3208,4193
460,985,3208,4193
461,985,3208,4193
462,985,3208,4193
463,985,3208,4193
464,985,3208,4193
465,985,3208,4193
466,985,3208,4193
467,985,3208,4193
468,985,3208,4193
469,985,3208,4193
470,985,3208,4193
471,985,3208,4193
472,985,3208,4193
473,985,3208,4193
474,985,3208,4193
475,985,3208,4193
476,985,3208,4193
477,985,3208,4193
478,985,3208,4193
479,985,3208,4193
480,985,3208,4193
481,985,3208,4193
482,985,3208,4193
483,985,3208,4193
484,985,3208,4193
485,985,3208,4193
486,985,3208,4193
487,985,3208,4193
488,985,3208,4193
489,985,3208,4193
490,985,3208,4193
491,985,3208,4193
492,985,3208,4193
493,985,3208,4193
494,985,3208,4193
495,985,3208,4193
496,985,3208,4193
497,985,3208,4193
498,985,3208,4193
499,985,3208,4193
500,985,3208,4193
501,985,3208,4193
502,985,3208,4193
503,985,3208,4193
504,985,3208,4193
505,985,3208,4193
506,985,3208,4193
507,985,3208,4193
508,985,3208,4193
509,985,3208,4193
510,985,3208,4193
511,985,3208,4193
512,985,3208,4193
513,985,3208,4193
514,985,3208,4193
515,985,3208,4193
516,985,3208,4193
517,985,3208,4193
518,985,3208,4193
519,985,3208,4193
520,985,3208,4193
521,985,3208,4193
522,985,3208,4193
523,985,3208,4193
524,985,3208,4193
525,985,3208,4193
526,985,3208,4193
527,985,3208,4193
528,985,3208,4193
529,985,3208,4193
530,985,3208,4193
531,985,3208,4193
532,985,3208,4193
533,985,3208,4193
534,985,3208,4193
535,985,3208,4193
536,985,3208,4193
537,985,3208,4193
538,985,3208,4193
539,985,3208,4193
540,985,3208,4193
541,985,3208,4193
542,985,3208,4193
543,985,3208,4193
544,985,3208,4193
545,985,3208,4193
546,985,3208,4193
547,985,3208,4193
548,985,3208,4193
549,985,3208,4193
550,985,3208,4193
551,985,3208,4193
552,985,3208,4193
553,985,3208,4193
554,985,3208,4193
555,985,3208,4193
556,985,3208,4193
557,985,3208,4193
558,985,3208,4193
559,985,3208,4193
560,985,3208,4193
561,985,3208,4193
562,985,3208,4193
563,985,3208,4193
564,985,3208,4193
565,985,3208,4193
566,985,3208,4193
567,985,3208,4193
568,985,3208,4193
569,985,3208,4193
570,985,3208,4193
571,985,3208,4193
572,985,3208,4193
573,985,3208,4193
574,985,3208,4193
575,985,3208,4193
576,985,3208,4193
577,985,3208,4193
578,985,3208,4193
579,985,3208,4193
580,985,3208,4193
581,985,3208,4193
582,985,3208,4193
583,985,3208,4193
584,985,3208,4193
585,985,3208,4193
586,985,3208,4193
587,985,3208,4193
588,985,3208,4193
589,985,3208,4193
590,985,3208,4193
591,985,3208,4193
592,985,3208,4193
593,985,3208,4193
594,985,3208,4193
595,985,3208,4193
596,985,3208,4193
597,985,3208,4193
598,985,3208,4193
599,985,3208,4193
600,985,3208,4193
601,985,3208,4193
602,985,3208,4193
603,985,3208,4193
604,985,3208,4193
605,985,3208,4193
606,985,3208,4193
607,985,3208,4193
608,985,3208,4193
609,985,3208,4193
610,985,3208,4193
611,985,3208,4193
612,985,3208,4193
613,985,3208,4193
614,985,3208,4193
615,985,3208,4193
616,985,3208,4193
617,985,3208,4193
618,985,3208,4193
619,985,3208,4193
620,985,3208,4193
621,985,3208,4193
622,985,3208,4193
623,985,3208,4193
624,985,3208,4193
625,985,3208,4193
626,985,3208,4193
627,985,3208,4193
628,985,3208,4193
629,985,3208,4193
630,985,3208,4193
631,985,3208,4193
632,985,3208,4193
633,985,3208,4193
634,985,3208,4193
635,985,3208,4193
636,985,3208,4193
637,985,3208,4193
638,985,3208,4193
639,985,3208,4193
640,985,3208,4193
641,985,3208,4193
642,985,3208,4193
643,985,3208,4193
644,985,3208,4193
645,985,3208,4193
646,985,3208,4193
647,985,3208,4193
648,985,3208,4193
649,985,3208,4193
650,985,3208,4193
651,985,3208,4193
652,985,3208,4193
653,985,3208,4193
654,985,3208,4193
655,985,3208,4193
656,985,3208,4193
657,985,3208,4193
658,985,3208,4193
659,985,3208,4193
660,985,3208,4193
661,985,3208,4193
662,985,3208,4193
663,985,3208,4193
664,985,3208,4193
665,985,3208,4193
666,985,3208,4193
667,985,3208,4193
668,985,3208,4193
669,985,3208,4193
670,985,3208,4193
671,985,3208,4193
672,985,3208,4193
673,985,3208,4193
674,985,3208,4193
675,985,3208,4193
676,985,3208,4193
677,985,3208,4193
678,985,3208,4193
679,985,3208,4193
680,985,3208,4193
681,985,3208,4193
682,985,3208,4193
683,985,3208,4193
684,985,3208,4193
685,985,3208,4193
686,985,3208,4193
687,985,3208,4193
688,985,3208,4193
689,985,3208,4193
690,985,3208,4193
691,985,3208,4193
692,985,3208,4193
693,985,3208,4193
694,985,3208,4193
695,985,3208,4193
696,985,3208,4193
697,985,3208,4193
698,985,3208,4193
699,985,3208,4193
700,985,3208,4193
701,985,3208,4193
702,985,3208,4193
703,985,3208,4193
704,985,3208,4193
705,985,3208,4193
706,985,3208,4193
707,985,3208,4193
708,985,3208,4193
709,985,3208,4193
710,985,3208,4193
711,985,3208,4193
712,985,3208,4193
713,985,3208,4193
714,985,3208,4193
715,985,3208,4193
716,985,3208,4193
717,985,3208,4193
718,985,3208,4193
719,985,3208,4193
720,985,3208,4193
721,985,3208,4193
722,985,3208,4193
723,985,3208,4193
724,985,3208,4193
725,985,3208,4193
726,985,3208,4193
727,985,3208,4193
728,985,3208,4193
729,985,3208,4193
730,985,3208,4193
731,985,3208,4193
732,985,3208,4193
733,985,3208,4193
734,985,3208,4193
735,985,3208,4193
736,985,3208,4193
737,985,3208,4193
738,985,3208,4193
739,985,3208,4193
740,985,3208,4193
741,985,3208,4193
742,985,3208,4193
743,985,3208,4193
744,985,3208,4193
745,985,3208,4193
746,985,3208,4193
747,985,3208,4193
748,985,3208,4193
749,985,3208,4193
750,985,3208,4193
751,985,3208,4193
752,985,3208,4193
753,985,3208,4193
754,985,3208,4193
755,985,3208,4193
756,985,3208,4193
757,985,3208,4193
758,985,3208,4193
759,985,3208,4193
760,985,3208,4193
761,985,3208,4193
762,985,3208,4193
763,985,3208,4193
764,985,3208,4193
765,985,3208,4193
766,985,3208,4193
767,985,3208,4193
768,985,3208,4193
769,985,3208,4193
770,985,3208,4193
771,985,3208,4193
772,985,3208,4193
773,985,3208,4193
774,985,3208,4193
775,985,3208,4193
776,985,3208,4193
777,985,3208,4193
778,985,3208,4193
779,985,3208,4193
780,985,3208,4193
781,985,3208,4193
782,985,3208,4193
783,985,3208,4193
784,985,3208,4193
785,985,3208,4193
786,985,3208,4193
787,985,3208,4193
788,985,3208,4193
789,985,3208,4193
790,985,3208,4193
791,985,3208,4193
792,985,3208,4193
793,985,3208,4193
794,985,3208,4193
795,985,3208,4193
796,985,3208,4193
797,985,3208,4193
798,985,3208,4193
799,985,3208,4193
800,985,3208,4193
801,985,3208,4193
802,985,3208,4193
803,985,3208,4193
804,985,3208,4193
805,985,3208,4193
806,985,3208,4193
807,985,3208,4193
808,985,3208,4193
809,985,3208,4193
810,985,3208,4193
811,985,3208,4193
812,985,3208,4193
813,985,3208,4193
814,985,3208,4193
815,985,3208,4193
816,985,3208,4193
817,985,3208,4193
818,985,3208,4193
819,985,3208,4193
820,985,3208,4193
821,985,3208,4193
822,985,3208,4193
823,985,3208,4193
824,985,3208,4193
825,985,3208,4193
826,985,3208,4193
827,985,3208,4193
828,985,3208,4193
829,985,3208,4193
830,985,3208,4193
831,985,3208,4193
832,985,3208,4193
833,985,3208,4193
834,985,3208,4193
835,985,3208,4193
836,985,3208,4193
837,985,3208,4193
838,985,3208,4193
839,985,3208,4193
840,985,3208,4193
841,985,3208,4193
842,985,3208,4193
843,985,3208,4193
844,985,3208,4193
845,985,3208,4193
846,985,3208,4193
847,985,3208,4193
848,985,3208,4193
849,985,3208,4193
850,985,3208,4193
851,985,3208,4193
852,985,3208,4193
853,985,3208,4193
854,985,3208,4193
855,985,3208,4193
856,985,3208,4193
857,985,3208,4193
858,985,3208,4193
859,985,3208,4193
860,985,3208,4193
861,985,3208,4193
862,985,3208,4193
863,985,3208,4193
864,985,3208,4193
865,985,3208,4193
866,985,3208,4193
867,985,3208,4193
868,985,3208,4193
869,985,3208,4193
870,985,3208,4193
871,985,3208,4193
872,985,3208,4193
873,985,3208,4193
874,985,3208,4193
875,985,3208,4193
876,985,3208,4193
877,985,3208,4193
878,985,3208,4193
879,985,3208,4193
880,985,3208,4193
881,985,3208,4193
882,985,3208,4193
883,985,3208,4193
884,985,3208,4193
885,985,3208,4193
886,985,3208,4193
887,985,3208,4193
888,985,3208,4193
889,985,3208,4193
890,985,3208,4193
891,985,3208,4193
892,985,3208,4193
893,985,3208,4193
894,985,3208,4193
895,985,3208,4193
896,985,3208,4193
897,985,3208,4193
898,985,3208,4193
899,985,3208,4193
900,985,3208,4193
901,985,3208,4193
902,985,3208,4193
903,985,3208,4193
904,985,3208,4193
905,985,3208,4193
906,985,3208,4193
907,985,3208,4193
908,985,3208,4193
909,985,3208,4193
910,985,3208,4193
911,985,3208,4193
912,985,3208,4193
913,985,3208,4193
914,985,3208,4193
915,985,3208,4193
916,985,3208,4193
917,985,3208,4193
918,985,3208,4193
919,985,3208,4193
920,985,3208,4193
921,985,3208,4193
922,985,3208,4193
923,985,3208,4193
924,985,3208,4193
925,985,3208,4193
926,985,3208,4193
927,985,3208,4193
928,985,3208,4193
929,985,3208,4193
930,985,3208,4193
931,985,3208,4193
932,985,3208,4193
933,985,3208,4193
934,985,3208,4193
935,985,3208,4193
936,985,3208,4193
937,985,3208,4193
938,985,3208,4193
939,985,3208,4193
940,985,3208,4193
941,985,3208,4193
942,985,3208,4193
943,985,3208,4193
944,985,3208,4193
945,985,3208,4193
946,985,3208,4193
947,985,3208,4193
948,985,3208,4193
949,985,3208,4193
950,985,3208,4193
951,985,3208,4193
952,985,3208,4193
953,985,3208,4193
954,985,3208,4193
955,985,3208,4193
956,985,3208,4193
957,985,3208,4193
958,985,3208,4193
959,985,3208,4193
960,985,3208,4193
961,985,3208,4193
962,985,3208,4193
963,985,3208,4193
964,985,3208,4193
965,985,3208,4193
966,985,3208,4193
967,985,3208,4193
968,985,3208,4193
969,985,3208,4193
970,985,3208,4193
971,985,3208,4193
972,985,3208,4193
973,985,3208,4193
974,985,3208,4193
975,985,3208,4193
976,985,3208,4193
977,985,3208,4193
978,985,3208,4193
979,985,3208,4193
980,985,3208,4193
981,985,3208,4193
982,985,3208,4193
983,985,3208,4193
984,985,3208,4193
985,985,3208,4193
986,985,3208,4193
987,985,3208,4193
988,985,3208,4193
989,985,3208,4193
990,985,3208,4193
991,985,3208,4193
992,985,3208,4193
993,985,3208,4193
994,985,3208,4193
995,985,3208,4193
996,985,3208,4193
997,985,3208,4193
998,985,3208,4193
999,985,3208,4193
1000,985,3208,4193
1001,985,3208,4193
1002,985,3208,4193
1003,985,3208,4193
1004,985,3208,4193
1005,985,3208,4193
1006,984,3208,4192
1007,984,3208,4192
1008,984,3208,4192
1009,984,3208,4192
1010,984,3208,4192
1011,984,3208,4192
1012,984,3208,4192
1013,984,3208,4192
1014,984,3208,4192
1015,984,3208,4192
1016,984,3208,4192
1017,984,3208,4192
1018,984,3208,4192
1019,984,3208,4192
1020,984,3208,4192
1021,984,3208,4192
1022,984,3208,4192
1023,984,3208,4192
1024,984,3208,4192
1025,984,3208,4192
1026,984,3208,4192
1027,984,3208,4192
